site,month,surface_temp,clarity,conductivity,net,date_time_set,depth_1,depth_2,date_time_pull,lat,long
NTS,6,14.7,7.69,8.27,MIN25,6/14/2022 18:27,23.7,,6/15/2022 7:27,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN30,6/14/2022 18:31,28.8,,6/15/2022 7:34,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,GIL30,6/14/2022 17:35,27.4,28.3,6/15/2022 6:06,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,HOPS,6/14/2022 18:01,2.3,,6/15/2022 6:56,-119.61247,40.16769333
NTS,7,25.5,6.6,8.4,MINBEN01,7/23/2022 19:05,1,,7/24/2022 7:55,-119.6208183,40.1928
NTS,7,25.5,6.6,8.4,MINBEN02,7/23/2022 19:04,2,,7/24/2022 8:01,-119.6208817,40.19168667
NTS,7,25.5,6.6,8.4,MINBEN05,7/23/2022 19:00,5.2,,7/24/2022 8:04,-119.6200133,40.186945
NTS,7,25.5,6.6,8.4,MINBEN10,7/23/2022 18:57,10.1,,7/24/2022 8:07,-119.6194617,40.18138667
NTS,7,25.5,6.6,8.4,GIL10,7/23/2022 19:14,5.1,5.2,7/24/2022 6:28,-119.6158117,40.18849333
NTS,7,25.5,6.6,8.4,MINBEN15,7/23/2022 18:48,14.9,,7/24/2022 8:11,-119.62011,40.17693333
NTS,7,25.5,6.6,8.4,MINBEN20,7/23/2022 18:45,20.1,,7/24/2022 8:23,-119.6199333,40.173305
NTS,7,25.5,6.6,8.4,GIL20,7/23/2022 19:18,15.7,15.9,7/24/2022 6:06,-119.6119817,40.180055
NTS,7,25.5,6.6,8.4,MINBEN25,7/23/2022 18:42,24.8,,7/24/2022 8:28,-119.6197733,40.17072167
NTS,7,25.5,6.6,8.4,MINBEN30,7/23/2022 18:39,29.4,,7/24/2022 8:34,-119.6196567,40.16818667
NTS,7,25.5,6.6,8.4,GIL30,7/23/2022 19:22,25.9,26.3,7/24/2022 5:48,-119.6083367,40.17265
NTS,7,25.5,6.6,8.4,HOPS,7/23/2022 19:11,3.1,3.3,7/24/2022 7:42,-119.61711,40.19106667
PEP,5,16.1,5.77,8.01,MIN01,5/17/2022 17:41,1.2,,5/18/2022 10:07,,
PEP,5,16.1,5.77,8.01,MIN02,5/17/2022 17:43,2.3,,5/18/2022 10:08,,
PEP,5,16.1,5.77,8.01,MIN05,5/17/2022 17:45,5.2,,5/18/2022 10:44,,
PEP,5,16.1,5.77,8.01,HOP10,5/17/2022 17:16,8.5,,5/18/2022 7:13,,
PEP,5,16.1,5.77,8.01,MIN10,5/17/2022 18:00,11.9,,,,
PEP,5,16.1,5.77,8.01,GIL10,5/17/2022 17:05,8.2,13.2,5/18/2022 9:23,,
PEP,5,16.1,5.77,8.01,MIN15,5/17/2022 18:24,16.3,,5/18/2022 10:47,,
PEP,5,16.1,5.77,8.01,HOP20,5/17/2022 17:22,18.9,,5/18/2022 7:08,,
PEP,5,16.1,5.77,8.01,MIN20,5/17/2022 18:27,19.1,,5/18/2022 10:52,,
PEP,5,16.1,5.77,8.01,GIL20,5/17/2022 17:08,18.7,21.7,5/18/2022 8:17,,
PEP,5,16.1,5.77,8.01,MIN25,5/17/2022 18:32,24.5,,5/18/2022 10:55,,
PEP,5,16.1,5.77,8.01,HOP30,5/17/2022 17:28,29.1,,5/18/2022 7:04,,
PEP,5,16.1,5.77,8.01,MIN30,5/17/2022 18:35,29.5,,5/18/2022 10:58,,
PEP,5,16.1,5.77,8.01,GIL30,5/17/2022 17:09,27.8,29.1,5/18/2022 7:18,,
PEP,6,17.2,7.17,8.25,MIN01,6/15/2022 17:36,1.1,,6/16/2022 8:15,0,0
PEP,6,17.2,7.17,8.25,MIN02,6/15/2022 17:37,2.1,,6/16/2022 8:13,0,0
PEP,6,17.2,7.17,8.25,MIN05,6/15/2022 17:41,4.4,,6/16/2022 8:17,0,0
PEP,6,17.2,7.17,8.25,MIN10,6/15/2022 17:44,8.7,,6/16/2022 8:19,0,0
PEP,6,17.2,7.17,8.25,GIL10,6/15/2022 18:18,8.3,11.7,6/16/2022 6:50,0,0
